"DATE","REGION","AGEGROUP","SEX","DEATHS"
"2020-11-09","Brussels","45-64","F",2
"2020-11-09","Brussels","65-74","M",3
"2020-11-09","Brussels","75-84","M",4
"2020-11-09","Brussels","75-84","F",5
"2020-11-09","Brussels","85+","M",6
"2020-11-09","Brussels","85+","F",6
"2020-11-09","Wallonia","45-64","M",4
"2020-11-09","Wallonia","45-64","F",2
"2020-11-09","Wallonia","65-74","M",9
"2020-11-09","Wallonia","65-74","F",5
"2020-11-09","Wallonia","75-84","M",19
"2020-11-09","Wallonia","75-84","F",6
"2020-11-09","Wallonia","85+","M",20
"2020-11-09","Wallonia","85+","F",20
"2020-11-10","Flanders","25-44","F",1
"2020-11-10","Flanders","45-64","M",7
"2020-11-10","Flanders","45-64","F",2
"2020-11-10","Flanders","65-74","M",6
"2020-11-10","Flanders","65-74","F",4
"2020-11-10","Flanders","75-84","M",16
"2020-11-10","Flanders","75-84","F",6
"2020-11-10","Flanders","85+","M",19
"2020-11-10","Flanders","85+","F",30
"2020-11-10","Flanders",NA,"M",1
"2020-11-10","Brussels","0-24","F",1
"2020-11-10","Brussels","45-64","M",1
"2020-11-10","Brussels","65-74","F",2
"2020-11-10","Brussels","75-84","M",2
"2020-11-10","Brussels","75-84","F",2
"2020-11-10","Brussels","85+","M",7
"2020-11-10","Brussels","85+","F",9
"2020-11-10","Wallonia","45-64","M",3
"2020-11-10","Wallonia","45-64","F",2
"2020-11-10","Wallonia","65-74","M",8
"2020-11-10","Wallonia","65-74","F",4
"2020-11-10","Wallonia","75-84","M",15
"2020-11-10","Wallonia","75-84","F",16
"2020-11-10","Wallonia","85+","M",21
"2020-11-10","Wallonia","85+","F",33
"2020-11-11","Flanders","45-64","M",3
"2020-11-11","Flanders","45-64","F",1
"2020-11-11","Flanders","65-74","M",1
"2020-11-11","Flanders","65-74","F",1
"2020-11-11","Flanders","75-84","M",20
"2020-11-11","Flanders","75-84","F",14
"2020-11-11","Flanders","85+","M",20
"2020-11-11","Flanders","85+","F",24
"2020-11-11","Flanders",NA,"M",1
"2020-11-11","Brussels","45-64","M",1
"2020-11-11","Brussels","65-74","M",3
"2020-11-11","Brussels","75-84","M",4
"2020-11-11","Brussels","75-84","F",2
"2020-11-11","Brussels","85+","M",3
"2020-11-11","Brussels","85+","F",8
"2020-11-11","Wallonia","25-44","F",1
"2020-11-11","Wallonia","45-64","M",2
"2020-11-11","Wallonia","45-64","F",4
"2020-11-11","Wallonia","65-74","M",8
"2020-11-11","Wallonia","65-74","F",6
"2020-11-11","Wallonia","75-84","M",9
"2020-11-11","Wallonia","75-84","F",14
"2020-11-11","Wallonia","85+","M",19
"2020-11-11","Wallonia","85+","F",27
"2020-11-12","Flanders","45-64","M",2
"2020-11-12","Flanders","45-64","F",1
"2020-11-12","Flanders","65-74","M",1
"2020-11-12","Flanders","65-74","F",7
"2020-11-12","Flanders","75-84","M",16
"2020-11-12","Flanders","75-84","F",12
"2020-11-12","Flanders","85+","M",19
"2020-11-12","Flanders","85+","F",31
"2020-11-12","Brussels","75-84","M",3
"2020-11-12","Brussels","85+","M",2
"2020-11-12","Brussels","85+","F",4
"2020-11-12","Wallonia","45-64","M",2
"2020-11-12","Wallonia","45-64","F",2
"2020-11-12","Wallonia","65-74","M",9
"2020-11-12","Wallonia","65-74","F",6
"2020-11-12","Wallonia","75-84","M",11
"2020-11-12","Wallonia","75-84","F",8
"2020-11-12","Wallonia","85+","M",16
"2020-11-12","Wallonia","85+","F",22
"2020-11-13","Flanders","45-64","M",1
"2020-11-13","Flanders","45-64","F",2
"2020-11-13","Flanders","65-74","M",4
"2020-11-13","Flanders","65-74","F",3
"2020-11-13","Flanders","75-84","M",14
"2020-11-13","Flanders","75-84","F",14
"2020-11-13","Flanders","85+","M",24
"2020-11-13","Flanders","85+","F",29
"2020-11-13","Brussels","45-64","M",2
"2020-11-13","Brussels","45-64","F",1
"2020-11-13","Brussels","75-84","M",2
"2020-11-13","Brussels","85+","M",3
"2020-11-13","Brussels","85+","F",7
"2020-11-13","Wallonia","45-64","M",3
"2020-11-13","Wallonia","45-64","F",1
"2020-11-13","Wallonia","65-74","M",10
"2020-11-13","Wallonia","65-74","F",3
"2020-11-13","Wallonia","75-84","M",11
"2020-11-13","Wallonia","75-84","F",11
"2020-11-13","Wallonia","85+","M",11
"2020-11-13","Wallonia","85+","F",27
"2020-11-14","Flanders","25-44","M",1
"2020-11-14","Flanders","45-64","M",1
"2020-11-14","Flanders","65-74","M",3
"2020-11-14","Flanders","65-74","F",4
"2020-11-14","Flanders","75-84","M",23
"2020-11-14","Flanders","75-84","F",7
"2020-11-14","Flanders","85+","M",15
"2020-11-14","Flanders","85+","F",33
"2020-11-14","Brussels","45-64","M",2
"2020-11-14","Brussels","45-64","F",1
"2020-11-14","Brussels","65-74","M",2
"2020-11-14","Brussels","65-74","F",1
"2020-11-14","Brussels","75-84","M",2
"2020-11-14","Brussels","75-84","F",1
"2020-11-14","Brussels","85+","M",4
"2020-11-14","Brussels","85+","F",3
"2020-11-14","Wallonia","45-64","M",4
"2020-11-14","Wallonia","45-64","F",3
"2020-11-14","Wallonia","65-74","M",9
"2020-11-14","Wallonia","65-74","F",3
"2020-11-14","Wallonia","75-84","M",9
"2020-11-14","Wallonia","75-84","F",13
"2020-11-14","Wallonia","85+","M",13
"2020-11-14","Wallonia","85+","F",20
"2020-11-15","Flanders","25-44","M",1
"2020-11-15","Flanders","45-64","M",1
"2020-11-15","Flanders","45-64","F",1
"2020-11-15","Flanders","65-74","M",7
"2020-11-15","Flanders","75-84","M",11
"2020-11-15","Flanders","75-84","F",9
"2020-11-15","Flanders","85+","M",17
"2020-11-15","Flanders","85+","F",28
"2020-11-15","Brussels","45-64","M",1
"2020-11-15","Brussels","45-64","F",1
"2020-11-15","Brussels","65-74","M",1
"2020-11-15","Brussels","75-84","M",4
"2020-11-15","Brussels","75-84","F",1
"2020-11-15","Brussels","85+","M",3
"2020-11-15","Brussels","85+","F",6
"2020-11-15","Wallonia","45-64","M",7
"2020-11-15","Wallonia","45-64","F",3
"2020-11-15","Wallonia","65-74","M",9
"2020-11-15","Wallonia","65-74","F",6
"2020-11-15","Wallonia","75-84","M",22
"2020-11-15","Wallonia","75-84","F",12
"2020-11-15","Wallonia","85+","M",17
"2020-11-15","Wallonia","85+","F",25
"2020-11-16","Flanders","45-64","M",5
"2020-11-16","Flanders","65-74","M",2
"2020-11-16","Flanders","65-74","F",1
"2020-11-16","Flanders","75-84","M",13
"2020-11-16","Flanders","75-84","F",10
"2020-11-16","Flanders","85+","M",26
"2020-11-16","Flanders","85+","F",30
"2020-11-16","Brussels","25-44","M",1
"2020-11-16","Brussels","45-64","M",3
"2020-11-16","Brussels","45-64","F",2
"2020-11-16","Brussels","65-74","M",4
"2020-11-16","Brussels","65-74","F",4
"2020-11-16","Brussels","75-84","M",3
"2020-11-16","Brussels","75-84","F",2
"2020-11-16","Brussels","85+","M",3
"2020-11-16","Brussels","85+","F",8
"2020-11-16","Wallonia","25-44","M",1
"2020-11-16","Wallonia","45-64","M",5
"2020-11-16","Wallonia","45-64","F",4
"2020-11-16","Wallonia","65-74","M",15
"2020-11-16","Wallonia","65-74","F",4
"2020-11-16","Wallonia","75-84","M",14
"2020-11-16","Wallonia","75-84","F",6
"2020-11-16","Wallonia","85+","M",11
"2020-11-16","Wallonia","85+","F",18
"2020-11-17","Flanders","45-64","M",3
"2020-11-17","Flanders","65-74","M",5
"2020-11-17","Flanders","65-74","F",2
"2020-11-17","Flanders","75-84","M",14
"2020-11-17","Flanders","75-84","F",6
"2020-11-17","Flanders","85+","M",18
"2020-11-17","Flanders","85+","F",26
"2020-11-17","Brussels","45-64","M",1
"2020-11-17","Brussels","45-64","F",1
"2020-11-17","Brussels","75-84","F",2
"2020-11-17","Brussels","85+","M",5
"2020-11-17","Brussels","85+","F",2
"2020-11-17","Wallonia","45-64","M",4
"2020-11-17","Wallonia","65-74","M",6
"2020-11-17","Wallonia","65-74","F",4
"2020-11-17","Wallonia","75-84","M",19
"2020-11-17","Wallonia","75-84","F",13
"2020-11-17","Wallonia","85+","M",13
"2020-11-17","Wallonia","85+","F",12
"2020-11-18","Flanders","45-64","M",1
"2020-11-18","Flanders","45-64","F",3
"2020-11-18","Flanders","65-74","M",4
"2020-11-18","Flanders","65-74","F",2
"2020-11-18","Flanders","75-84","M",13
"2020-11-18","Flanders","75-84","F",11
"2020-11-18","Flanders","85+","M",22
"2020-11-18","Flanders","85+","F",21
"2020-11-18","Brussels","45-64","M",2
"2020-11-18","Brussels","65-74","M",2
"2020-11-18","Brussels","65-74","F",3
"2020-11-18","Brussels","75-84","M",3
"2020-11-18","Brussels","75-84","F",1
"2020-11-18","Brussels","85+","M",2
"2020-11-18","Brussels","85+","F",5
"2020-11-18","Wallonia","45-64","M",3
"2020-11-18","Wallonia","45-64","F",1
"2020-11-18","Wallonia","65-74","M",8
"2020-11-18","Wallonia","65-74","F",4
"2020-11-18","Wallonia","75-84","M",6
"2020-11-18","Wallonia","75-84","F",12
"2020-11-18","Wallonia","85+","M",14
"2020-11-18","Wallonia","85+","F",15
"2020-11-19","Flanders","45-64","M",5
"2020-11-19","Flanders","65-74","M",5
"2020-11-19","Flanders","65-74","F",3
"2020-11-19","Flanders","75-84","M",13
"2020-11-19","Flanders","75-84","F",6
"2020-11-19","Flanders","85+","M",21
"2020-11-19","Flanders","85+","F",30
"2020-11-19","Brussels","45-64","M",1
"2020-11-19","Brussels","65-74","M",1
"2020-11-19","Brussels","65-74","F",1
"2020-11-19","Brussels","75-84","M",3
"2020-11-19","Brussels","75-84","F",3
"2020-11-19","Brussels","85+","M",2
"2020-11-19","Brussels","85+","F",2
"2020-11-19","Wallonia","45-64","M",5
"2020-11-19","Wallonia","65-74","M",10
"2020-11-19","Wallonia","65-74","F",4
"2020-11-19","Wallonia","75-84","M",11
"2020-11-19","Wallonia","75-84","F",7
"2020-11-19","Wallonia","85+","M",15
"2020-11-19","Wallonia","85+","F",24
"2020-11-20","Flanders","45-64","M",4
"2020-11-20","Flanders","45-64","F",1
"2020-11-20","Flanders","65-74","M",5
"2020-11-20","Flanders","65-74","F",1
"2020-11-20","Flanders","75-84","M",8
"2020-11-20","Flanders","75-84","F",11
"2020-11-20","Flanders","85+","M",16
"2020-11-20","Flanders","85+","F",31
"2020-11-20","Brussels","25-44","M",2
"2020-11-20","Brussels","65-74","M",2
"2020-11-20","Brussels","65-74","F",1
"2020-11-20","Brussels","75-84","M",4
"2020-11-20","Brussels","75-84","F",2
"2020-11-20","Brussels","85+","M",8
"2020-11-20","Brussels","85+","F",4
"2020-11-20","Wallonia","45-64","M",3
"2020-11-20","Wallonia","45-64","F",1
"2020-11-20","Wallonia","65-74","M",8
"2020-11-20","Wallonia","65-74","F",8
"2020-11-20","Wallonia","75-84","M",12
"2020-11-20","Wallonia","75-84","F",6
"2020-11-20","Wallonia","85+","M",7
"2020-11-20","Wallonia","85+","F",23
"2020-11-21","Flanders","45-64","M",4
"2020-11-21","Flanders","45-64","F",1
"2020-11-21","Flanders","65-74","M",2
"2020-11-21","Flanders","65-74","F",5
"2020-11-21","Flanders","75-84","M",7
"2020-11-21","Flanders","75-84","F",8
"2020-11-21","Flanders","85+","M",14
"2020-11-21","Flanders","85+","F",31
"2020-11-21","Brussels","45-64","M",1
"2020-11-21","Brussels","65-74","F",3
"2020-11-21","Brussels","75-84","M",6
"2020-11-21","Brussels","85+","M",1
"2020-11-21","Brussels","85+","F",7
"2020-11-21","Wallonia","65-74","M",7
"2020-11-21","Wallonia","65-74","F",3
"2020-11-21","Wallonia","75-84","M",11
"2020-11-21","Wallonia","75-84","F",7
"2020-11-21","Wallonia","85+","M",10
"2020-11-21","Wallonia","85+","F",12
"2020-11-22","Flanders","45-64","F",1
"2020-11-22","Flanders","65-74","M",5
"2020-11-22","Flanders","65-74","F",2
"2020-11-22","Flanders","75-84","M",13
"2020-11-22","Flanders","75-84","F",9
"2020-11-22","Flanders","85+","M",23
"2020-11-22","Flanders","85+","F",22
"2020-11-22","Brussels","75-84","M",5
"2020-11-22","Brussels","75-84","F",3
"2020-11-22","Brussels","85+","M",3
"2020-11-22","Brussels","85+","F",3
"2020-11-22","Wallonia","25-44","M",1
"2020-11-22","Wallonia","25-44","F",1
"2020-11-22","Wallonia","45-64","M",4
"2020-11-22","Wallonia","45-64","F",2
"2020-11-22","Wallonia","65-74","M",2
"2020-11-22","Wallonia","65-74","F",3
"2020-11-22","Wallonia","75-84","M",10
"2020-11-22","Wallonia","75-84","F",7
"2020-11-22","Wallonia","85+","M",7
"2020-11-22","Wallonia","85+","F",10
"2020-11-23","Flanders","45-64","M",4
"2020-11-23","Flanders","65-74","M",5
"2020-11-23","Flanders","65-74","F",3
"2020-11-23","Flanders","75-84","M",16
"2020-11-23","Flanders","75-84","F",6
"2020-11-23","Flanders","85+","M",22
"2020-11-23","Flanders","85+","F",21
"2020-11-23","Brussels","45-64","M",1
"2020-11-23","Brussels","45-64","F",1
"2020-11-23","Brussels","65-74","M",3
"2020-11-23","Brussels","65-74","F",1
"2020-11-23","Brussels","75-84","M",1
"2020-11-23","Brussels","75-84","F",3
"2020-11-23","Brussels","85+","M",1
"2020-11-23","Brussels","85+","F",3
"2020-11-23","Wallonia","25-44","M",1
"2020-11-23","Wallonia","45-64","M",1
"2020-11-23","Wallonia","45-64","F",3
"2020-11-23","Wallonia","65-74","M",6
"2020-11-23","Wallonia","65-74","F",6
"2020-11-23","Wallonia","75-84","M",5
"2020-11-23","Wallonia","75-84","F",3
"2020-11-23","Wallonia","85+","M",8
"2020-11-23","Wallonia","85+","F",16
"2020-11-24","Flanders","45-64","M",4
"2020-11-24","Flanders","45-64","F",1
"2020-11-24","Flanders","65-74","M",1
"2020-11-24","Flanders","65-74","F",1
"2020-11-24","Flanders","75-84","M",6
"2020-11-24","Flanders","75-84","F",8
"2020-11-24","Flanders","85+","M",19
"2020-11-24","Flanders","85+","F",23
"2020-11-24","Brussels","45-64","M",3
"2020-11-24","Brussels","75-84","M",2
"2020-11-24","Brussels","75-84","F",1
"2020-11-24","Brussels","85+","M",1
"2020-11-24","Brussels","85+","F",4
"2020-11-24","Wallonia","45-64","M",5
"2020-11-24","Wallonia","65-74","M",6
"2020-11-24","Wallonia","65-74","F",3
"2020-11-24","Wallonia","75-84","M",7
"2020-11-24","Wallonia","75-84","F",8
"2020-11-24","Wallonia","85+","M",4
"2020-11-24","Wallonia","85+","F",15
"2020-11-25","Flanders","45-64","M",1
"2020-11-25","Flanders","45-64","F",4
"2020-11-25","Flanders","65-74","M",6
"2020-11-25","Flanders","65-74","F",1
"2020-11-25","Flanders","75-84","M",12
"2020-11-25","Flanders","75-84","F",9
"2020-11-25","Flanders","85+","M",21
"2020-11-25","Flanders","85+","F",23
"2020-11-25","Flanders",NA,"F",1
"2020-11-25","Brussels","45-64","M",1
"2020-11-25","Brussels","45-64","F",1
"2020-11-25","Brussels","65-74","M",1
"2020-11-25","Brussels","65-74","F",1
"2020-11-25","Brussels","75-84","M",2
"2020-11-25","Brussels","75-84","F",1
"2020-11-25","Brussels","85+","M",1
"2020-11-25","Brussels","85+","F",3
"2020-11-25","Wallonia","25-44","M",1
"2020-11-25","Wallonia","45-64","M",3
"2020-11-25","Wallonia","45-64","F",4
"2020-11-25","Wallonia","65-74","M",7
"2020-11-25","Wallonia","65-74","F",4
"2020-11-25","Wallonia","75-84","M",6
"2020-11-25","Wallonia","75-84","F",4
"2020-11-25","Wallonia","85+","M",6
"2020-11-25","Wallonia","85+","F",14
"2020-11-26","Flanders","45-64","M",2
"2020-11-26","Flanders","45-64","F",1
"2020-11-26","Flanders","65-74","M",6
"2020-11-26","Flanders","65-74","F",2
"2020-11-26","Flanders","75-84","M",9
"2020-11-26","Flanders","75-84","F",8
"2020-11-26","Flanders","85+","M",14
"2020-11-26","Flanders","85+","F",28
"2020-11-26","Brussels","45-64","M",2
"2020-11-26","Brussels","65-74","M",2
"2020-11-26","Brussels","75-84","M",3
"2020-11-26","Brussels","85+","M",3
"2020-11-26","Brussels","85+","F",3
"2020-11-26","Wallonia","45-64","M",3
"2020-11-26","Wallonia","65-74","M",3
"2020-11-26","Wallonia","65-74","F",1
"2020-11-26","Wallonia","75-84","M",4
"2020-11-26","Wallonia","75-84","F",6
"2020-11-26","Wallonia","85+","M",6
"2020-11-26","Wallonia","85+","F",12
"2020-11-27","Flanders","0-24","F",1
"2020-11-27","Flanders","25-44","F",1
"2020-11-27","Flanders","45-64","M",2
"2020-11-27","Flanders","45-64","F",1
"2020-11-27","Flanders","65-74","M",8
"2020-11-27","Flanders","65-74","F",4
"2020-11-27","Flanders","75-84","M",3
"2020-11-27","Flanders","75-84","F",7
"2020-11-27","Flanders","85+","M",19
"2020-11-27","Flanders","85+","F",30
"2020-11-27","Brussels","25-44","F",1
"2020-11-27","Brussels","45-64","M",2
"2020-11-27","Brussels","65-74","F",1
"2020-11-27","Brussels","75-84","M",2
"2020-11-27","Brussels","75-84","F",2
"2020-11-27","Brussels","85+","M",1
"2020-11-27","Brussels","85+","F",4
"2020-11-27","Wallonia","45-64","M",5
"2020-11-27","Wallonia","45-64","F",1
"2020-11-27","Wallonia","65-74","M",6
"2020-11-27","Wallonia","65-74","F",1
"2020-11-27","Wallonia","75-84","M",4
"2020-11-27","Wallonia","75-84","F",4
"2020-11-27","Wallonia","85+","M",6
"2020-11-27","Wallonia","85+","F",8
"2020-11-28","Flanders","45-64","F",1
"2020-11-28","Flanders","65-74","M",5
"2020-11-28","Flanders","65-74","F",2
"2020-11-28","Flanders","75-84","M",8
"2020-11-28","Flanders","75-84","F",10
"2020-11-28","Flanders","85+","M",13
"2020-11-28","Flanders","85+","F",20
"2020-11-28","Brussels","45-64","M",1
"2020-11-28","Brussels","65-74","M",2
"2020-11-28","Brussels","65-74","F",1
"2020-11-28","Brussels","75-84","M",3
"2020-11-28","Brussels","75-84","F",1
"2020-11-28","Brussels","85+","M",2
"2020-11-28","Brussels","85+","F",5
"2020-11-28","Wallonia","45-64","M",2
"2020-11-28","Wallonia","65-74","M",1
"2020-11-28","Wallonia","65-74","F",6
"2020-11-28","Wallonia","75-84","M",9
"2020-11-28","Wallonia","75-84","F",6
"2020-11-28","Wallonia","85+","M",6
"2020-11-28","Wallonia","85+","F",11
"2020-11-29","Flanders","45-64","M",4
"2020-11-29","Flanders","45-64","F",1
"2020-11-29","Flanders","65-74","M",2
"2020-11-29","Flanders","65-74","F",3
"2020-11-29","Flanders","75-84","M",9
"2020-11-29","Flanders","75-84","F",12
"2020-11-29","Flanders","85+","M",21
"2020-11-29","Flanders","85+","F",15
"2020-11-29","Brussels","45-64","M",1
"2020-11-29","Brussels","45-64","F",1
"2020-11-29","Brussels","75-84","F",2
"2020-11-29","Brussels","85+","M",4
"2020-11-29","Brussels","85+","F",4
"2020-11-29","Wallonia","25-44","M",1
"2020-11-29","Wallonia","45-64","M",5
"2020-11-29","Wallonia","45-64","F",1
"2020-11-29","Wallonia","65-74","M",4
"2020-11-29","Wallonia","65-74","F",1
"2020-11-29","Wallonia","75-84","M",6
"2020-11-29","Wallonia","75-84","F",3
"2020-11-29","Wallonia","85+","M",7
"2020-11-29","Wallonia","85+","F",12
"2020-11-30","Flanders","45-64","M",1
"2020-11-30","Flanders","45-64","F",2
"2020-11-30","Flanders","65-74","M",3
"2020-11-30","Flanders","65-74","F",2
"2020-11-30","Flanders","75-84","M",5
"2020-11-30","Flanders","75-84","F",6
"2020-11-30","Flanders","85+","M",13
"2020-11-30","Flanders","85+","F",24
"2020-11-30","Flanders",NA,"F",1
"2020-11-30","Brussels","65-74","F",1
"2020-11-30","Brussels","75-84","M",1
"2020-11-30","Brussels","75-84","F",1
"2020-11-30","Brussels","85+","M",1
"2020-11-30","Brussels","85+","F",3
"2020-11-30","Wallonia","45-64","M",1
"2020-11-30","Wallonia","45-64","F",3
"2020-11-30","Wallonia","65-74","M",1
"2020-11-30","Wallonia","65-74","F",3
"2020-11-30","Wallonia","75-84","M",4
"2020-11-30","Wallonia","75-84","F",3
"2020-11-30","Wallonia","85+","M",9
"2020-11-30","Wallonia","85+","F",12
"2020-12-01","Flanders","25-44","F",1
"2020-12-01","Flanders","45-64","M",3
"2020-12-01","Flanders","45-64","F",3
"2020-12-01","Flanders","65-74","M",4
"2020-12-01","Flanders","65-74","F",2
"2020-12-01","Flanders","75-84","M",5
"2020-12-01","Flanders","75-84","F",6
"2020-12-01","Flanders","85+","M",16
"2020-12-01","Flanders","85+","F",23
"2020-12-01","Brussels","45-64","M",1
"2020-12-01","Brussels","65-74","M",1
"2020-12-01","Brussels","75-84","M",3
"2020-12-01","Brussels","75-84","F",1
"2020-12-01","Brussels","85+","M",1
"2020-12-01","Brussels","85+","F",5
"2020-12-01","Wallonia","45-64","M",1
"2020-12-01","Wallonia","65-74","M",6
"2020-12-01","Wallonia","65-74","F",5
"2020-12-01","Wallonia","75-84","M",5
"2020-12-01","Wallonia","75-84","F",3
"2020-12-01","Wallonia","85+","M",8
"2020-12-01","Wallonia","85+","F",7
"2020-12-02","Flanders","45-64","M",4
"2020-12-02","Flanders","45-64","F",2
"2020-12-02","Flanders","65-74","M",3
"2020-12-02","Flanders","65-74","F",4
"2020-12-02","Flanders","75-84","M",12
"2020-12-02","Flanders","75-84","F",7
"2020-12-02","Flanders","85+","M",16
"2020-12-02","Flanders","85+","F",20
"2020-12-02","Brussels","45-64","M",2
"2020-12-02","Brussels","65-74","M",1
"2020-12-02","Brussels","65-74","F",1
"2020-12-02","Brussels","75-84","M",3
"2020-12-02","Brussels","75-84","F",5
"2020-12-02","Brussels","85+","F",3
"2020-12-02","Wallonia","45-64","M",3
"2020-12-02","Wallonia","65-74","M",3
"2020-12-02","Wallonia","65-74","F",2
"2020-12-02","Wallonia","75-84","M",6
"2020-12-02","Wallonia","75-84","F",3
"2020-12-02","Wallonia","85+","M",4
"2020-12-02","Wallonia","85+","F",13
"2020-12-03","Flanders","45-64","M",1
"2020-12-03","Flanders","65-74","M",1
"2020-12-03","Flanders","65-74","F",3
"2020-12-03","Flanders","75-84","M",8
"2020-12-03","Flanders","75-84","F",8
"2020-12-03","Flanders","85+","M",18
"2020-12-03","Flanders","85+","F",16
"2020-12-03","Brussels","0-24","M",1
"2020-12-03","Brussels","45-64","M",1
"2020-12-03","Brussels","65-74","M",2
"2020-12-03","Brussels","75-84","F",1
"2020-12-03","Brussels","85+","M",4
"2020-12-03","Brussels","85+","F",1
"2020-12-03","Wallonia","45-64","M",2
"2020-12-03","Wallonia","45-64","F",1
"2020-12-03","Wallonia","65-74","M",5
"2020-12-03","Wallonia","65-74","F",1
"2020-12-03","Wallonia","75-84","M",4
"2020-12-03","Wallonia","75-84","F",3
"2020-12-03","Wallonia","85+","M",6
"2020-12-03","Wallonia","85+","F",8
"2020-12-04","Flanders","0-24","F",1
"2020-12-04","Flanders","45-64","M",1
"2020-12-04","Flanders","65-74","M",3
"2020-12-04","Flanders","65-74","F",2
"2020-12-04","Flanders","75-84","M",10
"2020-12-04","Flanders","75-84","F",10
"2020-12-04","Flanders","85+","M",14
"2020-12-04","Flanders","85+","F",21
"2020-12-04","Brussels","45-64","M",4
"2020-12-04","Brussels","65-74","M",1
"2020-12-04","Brussels","65-74","F",1
"2020-12-04","Brussels","75-84","M",2
"2020-12-04","Brussels","85+","M",3
"2020-12-04","Brussels","85+","F",1
"2020-12-04","Wallonia","45-64","M",3
"2020-12-04","Wallonia","45-64","F",2
"2020-12-04","Wallonia","65-74","M",7
"2020-12-04","Wallonia","65-74","F",3
"2020-12-04","Wallonia","75-84","M",3
"2020-12-04","Wallonia","75-84","F",4
"2020-12-04","Wallonia","85+","M",4
"2020-12-04","Wallonia","85+","F",9
"2020-12-05","Flanders","45-64","M",2
"2020-12-05","Flanders","65-74","M",5
"2020-12-05","Flanders","65-74","F",3
"2020-12-05","Flanders","75-84","M",5
"2020-12-05","Flanders","75-84","F",6
"2020-12-05","Flanders","85+","M",15
"2020-12-05","Flanders","85+","F",16
"2020-12-05","Brussels","45-64","M",1
"2020-12-05","Brussels","65-74","M",1
"2020-12-05","Brussels","75-84","M",4
"2020-12-05","Brussels","85+","F",1
"2020-12-05","Wallonia","45-64","M",2
"2020-12-05","Wallonia","45-64","F",1
"2020-12-05","Wallonia","65-74","M",4
"2020-12-05","Wallonia","65-74","F",1
"2020-12-05","Wallonia","75-84","M",3
"2020-12-05","Wallonia","75-84","F",5
"2020-12-05","Wallonia","85+","M",3
"2020-12-05","Wallonia","85+","F",9
"2020-12-06","Flanders","45-64","M",1
"2020-12-06","Flanders","45-64","F",1
"2020-12-06","Flanders","65-74","M",5
"2020-12-06","Flanders","65-74","F",2
"2020-12-06","Flanders","75-84","M",4
"2020-12-06","Flanders","75-84","F",7
"2020-12-06","Flanders","85+","M",15
"2020-12-06","Flanders","85+","F",19
"2020-12-06","Brussels","25-44","F",1
"2020-12-06","Brussels","45-64","F",1
"2020-12-06","Brussels","75-84","M",2
"2020-12-06","Brussels","85+","F",2
"2020-12-06","Wallonia","45-64","M",2
"2020-12-06","Wallonia","65-74","M",3
"2020-12-06","Wallonia","65-74","F",2
"2020-12-06","Wallonia","75-84","M",1
"2020-12-06","Wallonia","75-84","F",4
"2020-12-06","Wallonia","85+","M",4
"2020-12-06","Wallonia","85+","F",8
"2020-12-07","Flanders","25-44","M",1
"2020-12-07","Flanders","45-64","M",5
"2020-12-07","Flanders","45-64","F",2
"2020-12-07","Flanders","65-74","M",4
"2020-12-07","Flanders","75-84","M",5
"2020-12-07","Flanders","75-84","F",5
"2020-12-07","Flanders","85+","M",15
"2020-12-07","Flanders","85+","F",23
"2020-12-07","Brussels","45-64","M",1
"2020-12-07","Brussels","75-84","M",1
"2020-12-07","Brussels","85+","M",2
"2020-12-07","Brussels","85+","F",1
"2020-12-07","Wallonia","45-64","M",1
"2020-12-07","Wallonia","65-74","M",6
"2020-12-07","Wallonia","65-74","F",3
"2020-12-07","Wallonia","75-84","M",6
"2020-12-07","Wallonia","75-84","F",4
"2020-12-07","Wallonia","85+","M",4
"2020-12-07","Wallonia","85+","F",8
"2020-12-08","Flanders","45-64","F",1
"2020-12-08","Flanders","65-74","M",2
"2020-12-08","Flanders","65-74","F",2
"2020-12-08","Flanders","75-84","M",9
"2020-12-08","Flanders","75-84","F",5
"2020-12-08","Flanders","85+","M",18
"2020-12-08","Flanders","85+","F",21
"2020-12-08","Brussels","65-74","M",1
"2020-12-08","Brussels","85+","M",3
"2020-12-08","Wallonia","45-64","M",1
"2020-12-08","Wallonia","45-64","F",2
"2020-12-08","Wallonia","65-74","M",4
"2020-12-08","Wallonia","65-74","F",1
"2020-12-08","Wallonia","75-84","M",10
"2020-12-08","Wallonia","75-84","F",2
"2020-12-08","Wallonia","85+","M",1
"2020-12-08","Wallonia","85+","F",11
"2020-12-09","Flanders","45-64","M",2
"2020-12-09","Flanders","65-74","M",1
"2020-12-09","Flanders","65-74","F",1
"2020-12-09","Flanders","75-84","M",6
"2020-12-09","Flanders","75-84","F",3
"2020-12-09","Flanders","85+","M",15
"2020-12-09","Flanders","85+","F",25
"2020-12-09","Brussels","45-64","M",1
"2020-12-09","Brussels","65-74","M",2
"2020-12-09","Brussels","85+","F",3
"2020-12-09","Wallonia","25-44","M",1
"2020-12-09","Wallonia","65-74","M",5
"2020-12-09","Wallonia","65-74","F",1
"2020-12-09","Wallonia","75-84","M",6
"2020-12-09","Wallonia","75-84","F",3
"2020-12-09","Wallonia","85+","M",6
"2020-12-09","Wallonia","85+","F",7
"2020-12-10","Flanders","45-64","M",1
"2020-12-10","Flanders","45-64","F",1
"2020-12-10","Flanders","65-74","M",2
"2020-12-10","Flanders","65-74","F",2
